iter	Passed	Remaining
0	177	177689
1	178	89084
2	179	59505
3	179	44707
4	180	35832
5	180	29913
6	181	25682
7	181	22510
8	182	20048
9	182	18073
10	183	16459
11	183	15115
12	184	13977
13	184	13001
14	185	12154
15	185	11412
16	186	10757
17	186	10177
18	187	9660
19	187	9193
20	188	8771
21	188	8386
22	189	8047
23	190	7737
24	191	7452
25	191	7184
26	192	6931
27	192	6696
28	193	6477
29	193	6270
30	194	6077
31	194	5896
32	195	5726
33	195	5566
34	196	5415
35	196	5272
36	197	5138
37	197	5010
38	198	4888
39	198	4773
40	199	4663
41	199	4561
42	200	4462
43	200	4367
44	201	4275
45	201	4188
46	202	4105
47	202	4024
48	203	3953
49	204	3888
50	205	3823
51	206	3759
52	206	3694
53	207	3631
54	207	3571
55	208	3512
56	208	3454
57	209	3399
58	209	3346
59	210	3294
60	210	3244
61	211	3195
62	211	3149
63	212	3107
64	213	3064
65	213	3022
66	214	2981
67	214	2941
68	215	2902
69	215	2864
70	216	2828
71	216	2792
72	217	2757
73	217	2723
74	218	2689
75	219	2662
76	219	2634
77	220	2608
78	221	2581
79	221	2551
80	222	2523
81	222	2495
82	223	2465
83	223	2438
84	224	2412
85	224	2387
86	225	2362
87	225	2338
88	226	2314
89	226	2291
90	227	2268
91	227	2246
92	228	2224
93	228	2203
94	229	2182
95	229	2162
96	230	2142
97	230	2123
98	231	2103
99	231	2084
100	232	2065
101	232	2047
102	233	2029
103	233	2015
104	234	2000
105	235	1985
106	236	1971
107	236	1955
108	237	1938
109	237	1923
110	238	1908
111	238	1892
112	239	1877
113	239	1862
114	240	1848
115	240	1834
116	241	1819
117	241	1805
118	242	1792
119	242	1778
120	243	1765
121	243	1751
122	243	1738
123	244	1726
124	244	1713
125	245	1701
126	245	1688
127	246	1677
128	246	1665
129	247	1654
130	247	1643
131	248	1633
132	249	1625
133	250	1616
134	250	1607
135	251	1597
136	251	1586
137	252	1576
138	252	1566
139	253	1556
140	253	1546
141	254	1536
142	254	1526
143	255	1517
144	255	1507
145	256	1498
146	256	1489
147	257	1480
148	257	1471
149	258	1463
150	258	1454
151	259	1445
152	259	1437
153	260	1429
154	260	1420
155	261	1412
156	261	1405
157	262	1397
158	262	1390
159	263	1384
160	264	1377
161	265	1372
162	266	1366
163	266	1359
164	267	1353
165	268	1347
166	268	1340
167	269	1334
168	270	1327
169	270	1321
170	271	1314
171	271	1308
172	272	1301
173	272	1295
174	273	1289
175	273	1282
176	274	1276
177	275	1270
178	275	1263
179	276	1257
180	276	1251
